Bane Id;Bane;Banestrekning Id;Banestrekning;Status;Prioritet;Fra Km;Til Km;Delstrekning Id;Delstrekning;LOKSTATUS;LOKFRAKM;LOKTILKM;Stasjonsmidt;STASJON;Stasjon kortnavn;Banesjef;Område;BANEFRAKM;BANETILKM
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00002;Gulsvik - Flå;I DRIFT;143.26;151.55;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23070;Flå stasjon;I DRIFT;151.55;152.815;152;SANN;flå;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00003;Flå - Bergheim;I DRIFT;152.815;169.024;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23100;Bergheim stasjon;I DRIFT;169.024;170.37;169.97;SANN;bgh;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00004;Bergheim - Nesbyen;I DRIFT;170.37;184.44;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23130;Nesbyen stasjon;I DRIFT;184.44;186.059;185.42;SANN;nes;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00005;Nesbyen - Gol;I DRIFT;186.059;201.593;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23150;Gol stasjon;I DRIFT;201.593;203.11;202.38;SANN;gol;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00006;Gol - Torpo;I DRIFT;203.11;216.081;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23160;Torpo stasjon;I DRIFT;216.081;219.324;217.85;SANN;tpo;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-00007;Torpo - Ål;I DRIFT;219.324;227.022;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2301;Trolldalen - Ål;I DRIFT;3;129.145;228.811;2301-23170;Ål stasjon;I DRIFT;227.022;228.811;228.21;SANN;ål;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-00001;Ål - Hol;I DRIFT;228.811;240.645;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-23180;Hol stasjon;I DRIFT;240.645;243.045;241.55;SANN;hol;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-00002;Hol - Geilo;I DRIFT;243.045;252.335;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-23190;Geilo stasjon;I DRIFT;252.335;253.7;252.74;SANN;glo;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-00003;Geilo - Ustaoset;I DRIFT;253.7;263.783;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-23200;Ustaoset stasjon;I DRIFT;263.783;265.092;264.67;SANN;ust;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2310;(Ål) - (Haugastøl);I DRIFT;3;228.811;274.597;2310-00004;Ustaoset - Haugastøl;I DRIFT;265.092;274.597;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-23210;Haugastøl stasjon;I DRIFT;274.597;275.97;275.5;SANN;hau;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-00001;Haugastøl - Tunga;I DRIFT;275.97;287.395;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-23215;Tunga stasjon;I DRIFT;287.395;290.585;288.89;SANN;tng;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-00002;Tunga - Finse;I DRIFT;290.585;301.149;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-23220;Finse stasjon;I DRIFT;301.149;303.05;302.1;SANN;fin;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2311;Haugastøl - Finse;I DRIFT;3;274.597;303.05;2311-00005;;I DRIFT;;;;USANN;;Bergensbanen Øst;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-00001;Finse - Fagernut;I DRIFT;303.05;308.506;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-23225;Fagernut stasjon;I DRIFT;308.506;310.36;309.58;SANN;fgn;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-00002;Fagernut - Hallingskeid;I DRIFT;310.36;322.35;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-23230;Hallingskeid stasjon;I DRIFT;322.35;323.47;322.8;SANN;hal;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-00003;Hallingskeid - Myrdal;I DRIFT;323.47;335.062;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-23240;Myrdal stasjon;I DRIFT;335.062;336.7;335.8;SANN;myr;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-00004;Myrdal - Mjølfjell;I DRIFT;336.7;353.591;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-23260;Mjølfjell stasjon;I DRIFT;353.591;355.216;354.22;SANN;mfj;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-00005;Mjølfjell - Reimegrend;I DRIFT;355.216;362.253;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2312;(Finse) - Reimegrend;I DRIFT;3;303.05;363.575;2312-23270;Reimegrend stasjon;I DRIFT;362.253;363.575;362.73;SANN;rmg;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2320;(Reimegrend) - Voss;I DRIFT;3;363.575;386.233;2320-00001;Reimegrend - Urdland;I DRIFT;363.575;370.3;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2320;(Reimegrend) - Voss;I DRIFT;3;363.575;386.233;2320-23280;Urdland stasjon;I DRIFT;370.3;372.11;371.52;SANN;urd;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2320;(Reimegrend) - Voss;I DRIFT;3;363.575;386.233;2320-00002;Urdland - Voss;I DRIFT;372.11;384.71;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2320;(Reimegrend) - Voss;I DRIFT;3;363.575;386.233;2320-23300;Voss stasjon;I DRIFT;384.71;386.233;385.32;SANN;vos;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-00001;Voss - Bulken;I DRIFT;386.233;391.5;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-23310;Bulken stasjon;I DRIFT;391.5;394.53;392.55;SANN;bul;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-00002;Bulken - Evanger;I DRIFT;394.53;403.09;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-23330;Evanger stasjon;I DRIFT;403.09;404.322;403.66;SANN;evg;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-00003;Evanger - Bolstadøyri;I DRIFT;404.322;413.5;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-23340;Bolstadøyri stasjon;I DRIFT;413.5;415.2;414.13;SANN;bol;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-00004;Bolstadøyri - Dale;I DRIFT;415.2;424.05;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2330;(Voss) - Dale;I DRIFT;2;386.233;425.866;2330-23350;Dale stasjon;I DRIFT;424.05;425.866;425.29;SANN;dl;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-00001;Dale - Stanghelle;I DRIFT;425.866;431.515;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-23360;Stanghelle stasjon;I DRIFT;431.515;433.047;432.22;SANN;sth;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-00002;Stanghelle - Vaksdal;I DRIFT;433.047;439.707;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-23370;Vaksdal stasjon;I DRIFT;439.707;441.119;440.53;SANN;vad;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-00003;Vaksdal - Trengereid;I DRIFT;441.119;449.58;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-23390;Trengereid stasjon;I DRIFT;449.58;452.707;452.41;SANN;trd;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-00004;Trengereid - Arna;I DRIFT;452.707;460.92;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-23420;Arna stasjon;I DRIFT;460.92;462.88;461.93;SANN;arn;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-00005;Arna - Bergen;I DRIFT;462.88;469.983;;USANN;;Bergensbanen Vest;Område Vest;90.6;471.25
B07;Bergensbanen;2340;(Dale) - Bergen;I DRIFT;2;425.866;471.25;2340-23510;Bergen stasjon;I DRIFT;469.983;471.25;471.25;SANN;brg;Bergensbanen Vest;Område Vest;90.6;471.25
B13;Bratsbergbanen;1820;(Nordagutu) - (Skien);I DRIFT;4;146.582;179.762;1820-00001;Nordagutu - Valebø;I DRIFT;146.582;155.526;;USANN;;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1820;(Nordagutu) - (Skien);I DRIFT;4;146.582;179.762;1820-18120;Valebø stasjon;I DRIFT;155.526;157.459;156.09;SANN;vbø;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1820;(Nordagutu) - (Skien);I DRIFT;4;146.582;179.762;1820-00002;Valebø - Skien;I DRIFT;157.459;179.762;;USANN;;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-18150;Skien stasjon;I DRIFT;179.762;180.836;180.5;SANN;skn;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-00001;Skien - Borgestad;I DRIFT;180.836;185.876;;USANN;;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-18190;Borgestad stasjon;I DRIFT;185.876;187.482;186.8;SANN;bos;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-00002;Borgestad - Porsgrunn;I DRIFT;187.482;189.412;;USANN;;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-18210;Porsgrunn stasjon;I DRIFT;189.412;190.615;190.12;SANN;pg;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-00003;Porsgrunn - Eidanger;I DRIFT;190.615;192.875;;USANN;;Sørlandsbanen Øst;Område Sør;146.582;193.855
B13;Bratsbergbanen;1830;Skien - Eidanger;I DRIFT;2;179.762;193.855;1830-15240;Eidanger stasjon;I DRIFT;192.875;193.855;193.387;SANN;eid;Sørlandsbanen Øst;Område Sør;146.582;193.855
B25;Brevikbanen;1560;(Eidanger) - Brevik;I DRIFT;5;193.414;201.75;1560-00001;Eidanger - Brevik (delstr.);I DRIFT;193.414;201.75;;USANN;;Sørlandsbanen Øst;Område Sør;193.414;201.75
B25;Brevikbanen;1560;(Eidanger) - Brevik;I DRIFT;5;193.414;201.75;1560-15246;Brevik stasjon;I DRIFT;;;202.62;SANN;bre;Sørlandsbanen Øst;Område Sør;193.414;201.75
